tconst,primaryTitle,averageRating,numVotes,ranking
tt1475582,Sherlock,9.1,953586,1
tt2356777,True Detective,8.9,597660,2
tt2085059,Black Mirror,8.8,582833,3
tt0773262,Dexter,8.7,740214,4
tt0412142,House,8.7,481594,5
tt5753856,Dark,8.7,411225,6
tt0098936,Twin Peaks,8.8,204818,7
tt0475784,Westworld,8.5,516690,8
tt5290382,Mindhunter,8.6,307573,9
tt6763664,The Haunting of Hill House,8.6,259733,10
tt0106179,The X-Files,8.6,235184,11
tt11280740,Severance,8.7,156874,12
tt3920596,Big Little Lies,8.5,211011,13
tt1119644,Fringe,8.4,250399,14
tt1796960,Homeland,8.3,350253,15
tt3230854,The Expanse,8.5,161610,16
tt10155688,Mare of Easttown,8.4,169202,17
tt2401256,The Night Of,8.4,160267,18
tt1474684,Luther,8.4,148532,19
tt2249364,Broadchurch,8.4,118887,20
tt1196946,The Mentalist,8.2,191605,21
tt10919420,Squid Game,8.0,481371,22
tt3647998,Taboo,8.3,143243,23
tt2149175,The Americans,8.4,104974,24
tt2431438,Sense8,8.2,158289,25
tt0491738,Psych,8.4,101483,26
tt0452046,Criminal Minds,8.1,208331,27
tt1733785,The Bridge,8.6,72591,28
tt1637727,The Killing,8.3,116712,29
tt2303687,Line of Duty,8.7,64263,30
tt2741602,The Blacklist,8.0,263978,31
tt2699128,The Leftovers,8.3,104773,32
tt7049682,Watchmen,8.2,126785,33
tt7920978,Persona,9.0,43529,34
tt3205802,How to Get Away with Murder,8.1,158198,35
tt1442462,The Good Wife,8.4,79016,36
tt0412253,Veronica Mars,8.4,75727,37
tt0844441,True Blood,7.9,252138,38
tt11912196,Asur: Welcome to Your Dark Side,8.5,58940,39
tt0203259,Law & Order: Special Victims Unit,8.1,114964,40
tt2188671,Bates Motel,8.1,112060,41
tt2649356,Sharp Objects,8.1,108599,42
tt0094525,Poirot,8.6,48372,43
tt1235099,Lie to Me,8.0,123607,44
tt14164730,Dexter: New Blood,8.1,93811,45
tt2879552,11.22.63,8.1,92174,46
tt1795096,Behzat Ç: An Ankara Detective Story,8.9,31313,47
tt6048596,The Sinner,7.9,131482,48
tt1399664,The Night Manager,8.0,96008,49
tt2384811,Utopia,8.4,48718,50
tt0383126,MythBusters,8.3,53703,51
tt2191671,Elementary,7.9,114613,52
tt0319969,Carnivàle,8.4,45834,53
tt1837642,Revenge,7.8,122297,54
tt4635282,The OA,7.8,108996,55
tt2701582,Endeavour,8.6,29707,56
tt7520794,Russian Doll,7.8,100979,57
tt1466074,Columbo,8.3,38571,58
tt2661044,The 100,7.6,262417,59
tt5651844,Travelers,8.0,60089,60
tt11318602,Don't F**k with Cats: Hunting an Internet Killer,8.0,57917,61
tt7826376,Upload,7.9,70515,62
tt0478942,Life on Mars,8.4,31365,63
tt0874936,Life,8.3,34656,64
tt0086661,The Adventures of Sherlock Holmes,8.7,23168,65
tt8690918,Resident Alien,8.1,43168,66
tt0826760,Forbrydelsen,8.4,28939,67
tt0805663,Jericho,7.9,57579,68
tt11041332,Yellowjackets,7.8,68827,69
tt1837492,13 Reasons Why,7.5,303261,70
tt1103987,Leverage,7.9,52742,71
tt0410975,Desperate Housewives,7.6,133384,72
tt0247082,CSI: Crime Scene Investigation,7.7,86122,73
tt10795658,Alice in Borderland,7.7,84924,74
tt2304589,Defending Jacob,7.8,60317,75
tt4192812,Unforgotten,8.3,26294,76
tt12920838,The Frog,8.2,28905,77
tt3877200,The Missing,8.2,28434,78
tt0830361,The Lost Room,8.1,32148,79
tt0914387,Damages,8.1,30877,80
tt1898069,American Gods,7.6,89505,81
tt0310455,Foyle's War,8.6,16832,82
tt4604612,The Alienist,7.7,57001,83
tt0118401,Midsomer Murders,7.9,36072,84
tt1703925,Wilfred,7.8,43594,85
tt0379632,Hustle,8.2,23117,86
tt0098844,Law & Order,7.8,41367,87
tt3581932,And Then There Were None,7.8,41346,88
tt8291284,The Peripheral,7.6,71079,89
tt1135300,Dollhouse,7.7,50614,90
tt8089592,Little Fires Everywhere,7.7,50223,91
tt6478318,Masum,8.3,19265,92
tt10834220,The Chestnut Man,7.7,49280,93
tt2396135,Shetland,8.2,21193,94
tt0106028,Homicide: Life on the Street,8.7,13393,95
tt5296406,Designated Survivor,7.5,97564,96
tt3148266,12 Monkeys,7.7,46656,97
tt1441135,Flashforward,7.6,61467,98
tt0090509,The Return of Sherlock Holmes,8.7,12759,99
tt5368542,The Exorcist,7.9,29905,100
tt4258440,River,8.0,25539,101
tt2183641,Ripper Street,8.1,21857,102
tt1595859,Blue Bloods,7.7,43729,103
tt12197698,Leverage: Redemption,8.2,19373,104
tt0061287,The Prisoner,8.5,14492,105
tt1578873,Pretty Little Liars,7.4,172410,106
tt8134186,Devs,7.7,42961,107
tt0485301,Torchwood,7.7,42212,108
tt13833978,The Lincoln Lawyer,7.7,42004,109
tt1132290,Warehouse 13,7.6,55563,110
tt10147644,The Innocent,7.8,33447,111
tt6792200,The Keepers,8.0,23823,112
tt3561180,Trapped,8.0,23528,113
tt4254242,The Magicians,7.6,53531,114
tt0285333,Alias,7.6,52655,115
tt9813792,From,7.7,39831,116
tt21344706,The Glory,8.1,18264,117
tt9095260,Criminal Justice,8.1,18182,118
tt7671598,Messiah,7.6,45018,119
tt10970552,The Haunting of Bly Manor,7.4,113430,120
tt1091909,Murdoch Mysteries,8.2,15797,121
tt0458253,The Closer,7.8,27366,122
tt1693592,Vera,8.1,17276,123
tt11691684,Flower of Evil,8.6,10784,124
tt4276618,C.B. Strike,7.9,22031,125
tt8134470,The Undoing,7.4,99025,126
tt9319668,1899,7.4,98872,127
tt1839683,Awake,7.9,21261,128
tt2226342,Devious Maids,7.8,24706,129
tt8201186,The Capture,7.9,20542,130
tt4354880,Mr. Mercedes,7.8,23924,131
tt1551632,Rizzoli & Isles,7.6,35922,132
tt8242904,What's Wrong with Secretary Kim,8.1,14869,133
tt0092379,Inspector Morse,8.2,13203,134
tt0874608,Inspector Lewis,8.1,14247,135
tt4279012,Death Parade,7.9,18108,136
tt5514358,Steins;Gate 0,8.4,10228,137
tt13634792,Mouse,8.7,8120,138
tt4159076,Dark Matter,7.5,43724,139
tt11228748,The King: Eternal Monarch,8.1,13531,140
tt0289830,Taken,7.8,20536,141
tt6461346,Stranger,8.5,9228,142
