tconst,primaryTitle,averageRating,numVotes,ranking
tt10986410,Ted Lasso,8.8,287202,1
tt1628033,Top Gear,8.7,122636,2
tt5712554,The Grand Tour,8.7,79174,3
tt0758745,Friday Night Lights,8.7,69376,4
tt8289930,Formula 1: Drive to Survive,8.6,45981,5
tt1344204,Blue Mountain State,8.3,55720,6
tt1480684,The League,8.3,50544,7
tt3673794,Kingdom,8.5,18932,8
tt0866442,Eastbound & Down,8.2,61041,9
tt22185582,Sixer,8.6,13134,10
tt10244600,Winning Time: The Rise of the Lakers Dynasty,8.3,22287,11
tt0108700,Baseball,9.2,4505,12
tt20779822,Bandon Mein Tha Dum!,8.8,6302,13
tt5770786,GLOW,8.0,48703,14
tt14674086,Welcome to Wrexham,8.2,14619,15
tt6758316,Formula 1,9.4,3271,16
tt15222080,Blue Lock,8.3,9263,17
tt5863126,Last Chance U,8.4,7241,18
tt0165961,Sports Night,8.3,8358,19
tt2348803,Kuroko's Basketball,8.2,10130,20
tt0368530,One Tree Hill,7.8,83729,21
tt3592032,Ping Pong the Animation,8.6,4326,22
tt11347692,The Test: A New Era for Australia's Team,8.8,3410,23
tt11207734,Londra Merkez,9.8,1794,24
tt8914684,Sunderland 'Til I Die,8.1,8782,25
tt15012798,All or Nothing: Arsenal,8.3,5594,26
tt7653274,All or Nothing: Manchester City,8.1,7342,27
tt4680240,Club de Cuervos,8.2,5961,28
tt3973820,Red Oaks,7.9,12277,29
tt6112414,Inside Edge,7.9,12222,30
tt11426660,Cheer,8.1,6655,31
tt6554240,Heels,8.0,7557,32
tt11188556,All or Nothing: Tottenham Hotspur,8.0,6463,33
tt0135733,Match of the Day,8.6,2636,34
tt5722190,Brockmire,8.0,6063,35
tt2891574,Ballers,7.6,45891,36
tt9058134,Kengan Ashura,8.0,5617,37
tt13087512,Last Chance U: Basketball,8.3,3262,38
tt7414406,All American,7.7,13003,39
tt12269504,Undertaker: The Last Ride,8.8,1788,40
tt8226360,A League of Their Own,7.6,23672,41
tt5637798,All or Nothing: A Season with the Arizona Cardinals,8.5,2274,42
tt4171176,Lucha Underground,8.9,1619,43
tt8203520,I stin Alpha i sti Vita oloi pan gia ti marmita,9.5,1132,44
tt0446622,Hard Knocks,8.4,2284,45
tt0185103,WWE Raw,7.7,9433,46
tt8403664,The English Game,7.6,15964,47
tt9117054,Spinning Out,7.6,15812,48
tt19296314,Tour de France: Unchained,8.3,2312,49
tt0497294,High Stakes Poker,9.0,1229,50
tt1379690,Lights Out,8.0,3264,51
tt17050700,Full Swing,8.0,3197,52
tt12688688,Tiger,7.8,4768,53
tt10691888,AEW Dynamite,8.5,1624,54
tt16970638,Sanctuary,8.0,3014,55
tt0136668,SportsCenter,8.1,2413,56
tt14126234,100 Foot Wave,8.1,2406,57
tt5472700,Saat Kadam,8.3,1783,58
tt13857476,We Best Love,8.3,1756,59
tt2211065,The Other Sport,8.7,1209,60
tt1411815,One Outs,8.3,1747,61
tt0445912,The Ultimate Fighter,7.9,3151,62
tt13081200,Man in the Arena,8.6,1265,63
tt9402026,Run with the Wind,8.4,1499,64
tt0307800,Pardon the Interruption,8.1,2072,65
tt0375411,Playmakers,8.4,1432,66
tt10641510,Take Us Home: Leeds United,8.0,2172,67
tt14113640,Barstool Yak,9.9,517,68
tt1332030,Make It or Break It,7.5,10282,69
tt0065323,NFL Monday Night Football,8.2,1517,70
tt7766104,Heimebane,7.9,2322,71
tt6484074,Legacy: The True Story of the LA Lakers,8.3,1264,72
tt0397769,Cheap Seats: Without Ron Parker,8.7,867,73
tt11378124,Stove League,8.3,1195,74
tt2289518,Being: Liverpool,8.4,1061,75
tt0139776,Fishing with John,8.0,1712,76
tt3105422,Ace of Diamond,8.2,1284,77
tt2317751,Indian Premier League,7.8,2373,78
tt0784889,Inside the NBA,8.7,782,79
tt0185130,WCW Monday Nitro,8.0,1520,80
tt11475228,Killer Inside: The Mind of Aaron Hernandez,7.4,18184,81
tt5500158,Pitch,7.5,6112,82
tt0165024,The Games,8.8,653,83
tt2396758,A Football Life,8.7,692,84
tt0077101,The White Shadow,8.0,1388,85
tt14010212,FC Bayern: Behind the Legend,8.1,1188,86
tt0086672,Bodyline,8.4,810,87
tt11238096,Big Shot,7.5,5102,88
tt5142004,Class of '92: Out of Their League,8.2,982,89
tt0188335,Hockey Night in Canada,9.4,410,90
tt8169088,All or Nothing: New Zealand All Blacks,8.1,1075,91
tt0905590,NBC Sunday Night Football,8.0,1216,92
tt6322684,Initial D: Final Stage,8.5,693,93
tt1083163,Human Weapon,8.3,835,94
tt1178714,Beijing 2008: Games of the XXIX Olympiad,8.0,1199,95
tt1885032,Sports Show with Norm Macdonald,8.4,731,96
tt14713552,The Captain,8.5,653,97
tt1540109,Formula 1: BBC Sport,8.5,650,98
tt0791283,Rob & Big,7.5,4276,99
tt8060758,GWF Three Count: Die Wrestling Serie,8.9,485,100
tt14403784,Biography: WWE Legends,8.4,697,101
