tconst,primaryTitle,averageRating,numVotes,ranking
tt0111161,The Shawshank Redemption,9.3,2754334,1
tt0068646,The Godfather,9.2,1916322,2
tt0468569,The Dark Knight,9.0,2727169,3
tt0167260,The Lord of the Rings: The Return of the King,9.0,1891960,4
tt0108052,Schindler's List,9.0,1388581,5
tt0071562,The Godfather Part II,9.0,1304714,6
tt0050083,12 Angry Men,9.0,815920,7
tt0110912,Pulp Fiction,8.9,2115369,8
tt1375666,Inception,8.8,2420342,9
tt0137523,Fight Club,8.8,2193151,10
tt0109830,Forrest Gump,8.8,2142554,11
tt0120737,The Lord of the Rings: The Fellowship of the Ring,8.8,1920498,12
tt0167261,The Lord of the Rings: The Two Towers,8.8,1707502,13
tt0060196,"The Good, the Bad and the Ugly",8.8,779216,14
tt0133093,The Matrix,8.7,1963241,15
tt0816692,Interstellar,8.7,1920475,16
tt0080684,Star Wars: Episode V - The Empire Strikes Back,8.7,1324654,17
tt0099685,Goodfellas,8.7,1195426,18
tt0073486,One Flew Over the Cuckoo's Nest,8.7,1030990,19
tt0114369,Se7en,8.6,1702971,20
tt0102926,The Silence of the Lambs,8.6,1471469,21
tt0120815,Saving Private Ryan,8.6,1427185,22
tt0076759,Star Wars: Episode IV - A New Hope,8.6,1396923,23
tt0120689,The Green Mile,8.6,1339235,24
tt10811166,The Kashmir Files,8.7,569591,25
tt0103064,Terminator 2: Judgment Day,8.6,1126195,26
tt0245429,Spirited Away,8.6,793146,27
tt0317248,City of God,8.6,772579,28
tt0118799,Life Is Beautiful,8.6,712823,29
tt0172495,Gladiator,8.5,1540010,30
tt0482571,The Prestige,8.5,1368193,31
tt0407887,The Departed,8.5,1359939,32
tt0088763,Back to the Future,8.5,1242884,33
tt0110413,Léon: The Professional,8.5,1192539,34
tt0120586,American History X,8.5,1145539,35
tt0114814,The Usual Suspects,8.5,1106555,36
tt0110357,The Lion King,8.5,1088748,37
tt2582802,Whiplash,8.5,908954,38
tt0078748,Alien,8.5,905705,39
tt1675434,The Intouchables,8.5,883972,40
tt0038650,It's a Wonderful Life,8.6,473193,41
tt6751668,Parasite,8.5,859935,42
tt0253474,The Pianist,8.5,858866,43
tt0054215,Psycho,8.5,689387,44
tt1345836,The Dark Knight Rises,8.4,1746332,45
tt1853728,Django Unchained,8.4,1604532,46
tt0034583,Casablanca,8.5,584838,47
tt7286456,Joker,8.4,1361323,48
tt0209144,Memento,8.4,1266513,49
tt15097216,Jai Bhim,8.8,207306,50
tt0047478,Seven Samurai,8.6,353616,51
tt4154796,Avengers: Endgame,8.4,1186082,52
tt0910970,WALL·E,8.4,1146590,53
tt4154756,Avengers: Infinity War,8.4,1129056,54
tt0081505,The Shining,8.4,1052183,55
tt0047396,Rear Window,8.5,502974,56
tt0082971,Indiana Jones and the Raiders of the Lost Ark,8.4,991147,57
tt9362722,Spider-Man: Across the Spider-Verse,9.0,136910,58
tt0090605,Aliens,8.4,734086,59
tt0078788,Apocalypse Now,8.4,683658,60
tt0364569,Oldboy,8.4,598154,61
tt4633694,Spider-Man: Into the Spider-Verse,8.4,591866,62
tt0361748,Inglourious Basterds,8.3,1496483,63
tt2380307,Coco,8.4,537821,64
tt0064116,Once Upon a Time in the West,8.5,337826,65
tt0169547,American Beauty,8.3,1175426,66
tt0086190,Star Wars: Episode VI - Return of the Jedi,8.3,1080206,67
