tconst,primaryTitle,averageRating,numVotes,ranking
tt0903747,Breaking Bad,9.5,1989209,1
tt7366338,Chernobyl,9.4,801659,2
tt0306414,The Wire,9.3,354433,3
tt2802850,Fargo,8.9,384479,4
tt1124373,Sons of Anarchy,8.6,307999,5
tt4158110,Mr. Robot,8.5,399921,6
tt5071412,Ozark,8.5,328078,7
tt5834204,The Handmaid's Tale,8.4,247475,8
tt0118421,Oz,8.7,102622,9
tt1520211,The Walking Dead,8.1,1031295,10
tt0286486,The Shield,8.7,83657,11
tt3647998,Taboo,8.3,143243,12
tt1733785,The Bridge,8.6,72591,13
tt2234222,Orphan Black,8.3,113626,14
tt7493974,Bodyguard,8.1,134666,15
tt3428912,Happy Valley,8.5,56232,16
tt2049116,Gomorrah,8.7,41914,17
tt2294189,The Fall,8.1,111615,18
tt5057054,Tom Clancy's Jack Ryan,8.0,150664,19
tt1534360,Ezel,8.7,34676,20
tt11854694,Special OPS,8.6,35095,21
tt12714854,Mumbai Diaries 26/11,8.7,29239,22
tt1740299,The Man in the High Castle,7.9,105377,23
tt9680440,Paatal Lok,8.1,61655,24
tt11743610,The Terminal List,7.9,98581,25
tt1837642,Revenge,7.8,122297,26
tt15477488,Farzi,8.4,33392,27
tt11301642,Ethos,8.5,28384,28
tt2433738,Wentworth,8.7,23261,29
tt1299368,Southland,8.5,27857,30
tt11712058,Mayor of Kingstown,8.2,39116,31
tt4565380,Fauda,8.3,33566,32
tt7450814,Koombiyo,9.0,17676,33
tt1830379,Top Boy,8.4,28645,34
tt4378376,Babylon Berlin,8.4,27057,35
tt5011816,Sneaky Pete,8.1,38666,36
tt3520702,Bloodline,7.9,55625,37
tt1103987,Leverage,7.9,52742,38
tt1837492,13 Reasons Why,7.5,303261,39
tt15469618,Bad Sisters,8.3,26192,40
tt17491088,The Diplomat,8.0,39316,41
tt1492179,Strike Back,8.1,32564,42
tt1837576,Scandal,7.7,76815,43
tt6873658,The Mechanism,8.0,36464,44
tt5875444,Slow Horses,7.9,42424,45
tt7235466,9-1-1,7.9,39761,46
tt2887954,Tokyo Vice,8.0,32792,47
tt1453159,The Pillars of the Earth,8.0,32124,48
tt8332438,ZeroZeroZero,8.1,27361,49
tt6466208,Breathe,8.3,20767,50
tt4643084,Counterpart,8.0,28992,51
tt6108262,Black Sun,8.9,11868,52
tt8392006,Apharan,8.3,19267,53
tt8089592,Little Fires Everywhere,7.7,50223,54
tt11398870,Caliphate,8.2,20427,55
tt4063800,The Bureau,8.7,12789,56
tt0460690,The Unit,8.1,22511,57
tt1954347,Continuum,7.6,62284,58
tt7440726,Your Honor,7.6,60690,59
tt12197698,Leverage: Redemption,8.2,19373,60
tt13847564,Inspector Avinash,8.4,15004,61
tt13918776,The Night Agent,7.5,82126,62
tt4687882,Patriot,8.3,16311,63
tt4269716,Umbre,8.7,10874,64
tt5028002,StartUp,7.8,29678,65
tt7985576,The Serpent,7.6,46346,66
tt21344706,The Glory,8.1,18264,67
tt7671598,Messiah,7.6,45018,68
tt10405370,Rogue Heroes,8.1,17881,69
tt14479078,Candy,8.3,14169,70
tt5645432,The Old Man,7.6,43351,71
tt0809488,The Godfather Saga,9.5,6029,72
tt8201186,The Capture,7.9,20542,73
tt10308632,"Illegal - Justice, Out of Order",8.1,15705,74
tt4445154,Deutschland 83,8.1,14507,75
tt3501074,Madam Secretary,7.7,24679,76
tt9612102,Exit,8.2,11957,77
tt0080297,Tinker Tailor Soldier Spy,8.5,9143,78
tt2568204,Tyrant,7.7,23222,79
tt12768990,The Gone Game,8.0,14368,80
tt9454892,Hello Mini,7.9,16263,81
tt22297578,Cat,8.2,11301,82
tt7263154,Undercover,7.8,18511,83
tt2980696,Quarry,8.0,13804,84
tt13582638,Taqdeer,8.7,7188,85
tt4602768,Doctor Foster: A Woman Scorned,7.7,20953,86
tt15516446,Matsya Kaand,8.8,6622,87
tt9778022,Abhay,8.0,13114,88
tt7134908,Elite,7.3,84636,89
tt15222080,Blue Lock,8.3,9020,90
tt3021686,The Honorable Woman,8.0,11290,91
tt14867276,Mohanagar,8.6,6449,92
tt14379784,The Devil's Hour,7.6,21063,93
tt8523042,Vagabond,8.1,9782,94
tt5715524,Mayans M.C.,7.6,20897,95
tt6510950,Condor,7.7,16654,96
tt20873118,Suzhal - The Vortex,8.2,8610,97
tt1186356,Whitechapel,7.8,13927,98
tt1242773,Romanzo criminale - La serie,8.5,6446,99
tt5197860,Tabula Rasa,7.9,11087,100
tt12405230,Breathe: Into the Shadows,7.6,18147,101
tt13174524,High,8.3,6960,102
tt20866202,Cyber Vaar,7.8,12166,103
tt7146600,Wolf,8.1,7962,104
tt6271042,McMafia,7.6,16473,105
tt15128088,Human,7.8,10937,106
tt0071003,Kolchak: The Night Stalker,8.4,5723,107
tt7008682,Homecoming,7.4,25826,108
tt7187044,City on a Hill,7.6,14766,109
tt3560094,Stalker,7.5,17656,110
tt18260370,Jugaadistan,8.4,5243,111
tt7431994,The Pit,7.5,17456,112
tt9179552,Dr. Death,7.6,13802,113
tt11536424,Code M,7.5,17091,114
tt11083696,Cruel Summer,7.5,16450,115
tt14466018,Blue Lights,8.2,5856,116
tt9064858,Them,7.4,21452,117
tt9698442,Behind Her Eyes,7.2,67904,118
tt1982229,City Hunter,8.1,6241,119
tt4591834,Nobel,8.0,6650,120
tt7263328,Classroom of the Elite,7.7,9818,121
tt13655456,True Story,7.4,19643,122
tt0465353,Sleeper Cell,8.0,6521,123
tt5822112,Rabbit Hole,7.5,13941,124
tt10952900,Juzni vetar,8.1,5551,125
tt5966882,The K2,7.8,7791,126
tt1024810,The Boarding School,8.1,5432,127
tt1554369,The Booth at the End,8.2,4904,128
tt8270592,Miss Scarlet & the Duke,7.7,8919,129
tt5620076,Chance,7.6,10532,130
tt2180271,Äkta människor,7.9,6602,131
tt1366321,The Take,7.7,8768,132
tt15404324,Tabbar,8.3,4348,133
tt5907796,Ubice mog oca,8.1,5087,134
tt14136452,Dude,8.4,3875,135
tt0424754,The Rose and the Thorn,8.6,3357,136
tt15017118,Dark Winds,7.6,9860,137
tt5191110,Berlin Station,7.6,9745,138
tt8388390,Chucky,7.3,23157,139
tt12803682,Churails,8.2,4406,140
tt4266402,Tiflisi,9.1,2439,141
tt4192998,Okkupert,7.6,9495,142
tt20205276,The Lion Skin,8.4,3728,143
tt0111880,American Gothic,8.1,4697,144
tt2603596,The Wrong Mans,7.7,7679,145
tt21481210,Karagar,8.4,3467,146
tt6467482,La Mante,7.4,14097,147
tt7161312,Informer,7.8,6186,148
tt7598448,The Little Drummer Girl,7.4,13702,149
tt1674553,Penoza,8.2,3913,150
tt6258718,Bad Banks,7.8,5984,151
tt13634872,Beyond Evil,8.1,4221,152
tt20234568,Weak Hero Class 1,8.5,3033,153
tt12299774,November Story,7.7,6841,154
tt6461736,The Brave,7.5,9367,155
tt13064634,Glória,7.9,4692,156
tt1202625,Gyakkyô burai Kaiji,8.2,3442,157
tt14781024,Mortal Wound,7.6,7231,158
tt11899030,The Responder,7.4,11504,159
tt27862209,Rafuchakkar,8.2,3258,160
tt0096540,Bangkok Hilton,7.8,4972,161
tt4792480,The Break,7.6,6678,162
tt6970710,Cocaine Coast,7.9,4231,163
tt23333666,Dharavi Bank,7.8,4751,164
tt0365651,Prime Suspect: The Last Witness,8.2,3070,165
tt19177348,The Informant,8.1,3343,166
tt7441984,JL50,7.4,9744,167
tt1429534,Braquo,7.9,3982,168
tt11897688,The Resort,7.4,9582,169
tt1676462,Prisoners of War,8.3,2551,170
tt11961378,Fatma,7.4,9079,171
tt4976512,Secret City,7.4,8896,172
tt0395404,Nighty Night,8.1,2932,173
tt0061265,The Invaders,8.0,3218,174
tt5598192,Before We Die,7.7,4608,175
tt2649522,The Escape Artist,7.5,6515,176
tt27412343,Saving the Tigers,8.2,2525,177
tt10323338,9-1-1: Lone Star,7.2,18444,178
tt27004349,Great Kills,8.8,1601,179
tt6148324,Deutschland 86,7.6,5030,180
tt9308346,The Plot Against America,7.3,10589,181
tt2303077,Brazil Avenue,8.2,2340,182
tt6517320,Too Old to Die Young,7.3,10351,183
tt3428202,Dhuwan,9.4,1103,184
tt3638488,Bedrag,7.6,4633,185
tt8335218,No Man's Land,7.8,3387,186
tt1590961,Breakout Kings,7.2,15970,187
tt8259142,Baptiste,7.3,9597,188
tt4607112,Tin Star,7.2,15276,189
tt7660730,Black Earth Rising,7.5,5325,190
tt1653313,Board James,8.1,2318,191
tt3815412,Our Girl,7.6,4367,192
tt21148238,Kaiser,8.2,2091,193
tt9094442,City of Dreams,7.7,3647,194
tt0112104,Nowhere Man,8.3,1883,195
tt0169501,Ultraviolet,7.9,2729,196
tt2345481,Being Mary Jane,7.6,4158,197
tt9151230,To the Lake,7.2,14104,198
tt9466596,Darkness: Those Who Kill,7.5,5020,199
tt18546730,The Walking Dead: Dead City,8.1,2182,200
tt10451240,Kosti,8.6,1478,201
tt10919486,Into the Night,7.1,34213,202
tt3159736,The Game,7.7,3405,203
tt10526388,Marmadesam,9.7,836,204
tt12228692,Multifaceted,8.1,2078,205
tt8594276,Jett,7.4,5814,206
tt15128122,Escaype Live,7.5,4574,207
tt0907683,Beck,7.4,5776,208
tt7605396,The Twelve,7.4,5766,209
tt9114372,Crash,7.5,4535,210
tt11685912,Outer Range,7.1,29819,211
tt11950864,Astrid et Raphaëlle,8.1,1951,212
tt0229924,Raid,8.5,1415,213
tt8760304,Deutschland 89,7.7,3081,214
tt14961048,Swarm,7.2,11840,215
tt10365978,Kaafir,8.2,1604,216
tt15792042,Am I Being Unreasonable?,7.6,3263,217
tt11703922,Newton's Cradle,8.0,1922,218
tt1885304,Marble Hornets,8.1,1645,219
tt2355844,Twisted,7.2,10013,220
tt3551796,American Odyssey,7.3,6211,221
tt11450050,Respect,7.5,3592,222
tt8726102,Thai Cave Rescue,7.8,2128,223
tt10405394,Designated Survivor: 60 Days,8.1,1518,224
tt0770652,The State Within,7.7,2411,225
