tconst,primaryTitle,averageRating,numVotes,ranking
tt2140553,The Last of Us,9.7,71443,1
tt6161168,Red Dead Redemption II,9.7,45561,2
tt2993508,The Witcher 3: Wild Hunt,9.7,30002,3
tt2103188,Grand Theft Auto V,9.5,66198,4
tt5838588,God of War,9.5,33476,5
tt3334704,Uncharted 4: A Thief's End,9.5,33036,6
tt0383385,Grand Theft Auto: San Andreas,9.4,42104,7
tt13119450,God of War: Ragnarök,9.7,13430,8
tt1568322,Batman: Arkham City,9.4,32886,9
tt1540125,Mass Effect 2,9.5,20786,10
tt1479962,Red Dead Redemption,9.4,28483,11
tt1814884,The Elder Scrolls V: Skyrim,9.3,31884,12
tt5667286,The Witcher 3: Wild Hunt - Blood and Wine,9.8,9070,13
tt0180825,Metal Gear Solid,9.6,12268,14
tt1349460,Uncharted 2: Among Thieves,9.3,26843,15
tt0374692,Half-Life 2,9.4,16849,16
tt0184666,The Legend of Zelda: Ocarina of Time,9.6,10208,17
tt1282022,Batman: Arkham Asylum,9.2,29583,18
tt0314123,Grand Theft Auto: Vice City,9.2,27982,19
tt5807780,Spider-Man,9.2,25439,20
tt0208155,Final Fantasy VII,9.5,11005,21
tt0365498,Metal Gear Solid 3: Snake Eater,9.5,10869,22
tt5158314,Detroit: Become Human,9.2,20020,23
tt0462423,Metal Gear Solid 4: Guns of the Patriots,9.4,10883,24
tt0356070,Star Wars: Knights of the Old Republic,9.5,8962,25
tt0291337,Max Payne,9.2,15582,26
tt1712064,BioShock Infinite,9.1,21236,27
tt1094581,BioShock,9.1,20931,28
tt1073664,Fallout 3,9.1,19578,29
tt0397042,Resident Evil 4,9.2,14464,30
tt1073668,Mass Effect,9.1,19074,31
tt3253986,The Legend of Zelda: Breath of the Wild,9.4,8831,32
tt1201133,Assassin's Creed II,9.0,24532,33
tt1125798,Call of Duty 4: Modern Warfare,9.0,23572,34
tt5547960,The Witcher 3: Wild Hunt - Hearts of Stone,9.5,7455,35
tt1800763,Uncharted 3: Drake's Deception,9.0,23518,36
tt1839558,Mass Effect 3,9.1,16270,37
tt7651352,Ghost of Tsushima,9.2,12169,38
tt0802999,Grand Theft Auto IV,8.9,36228,39
tt3554580,Batman: Arkham Knight,9.0,21659,40
tt0239023,Half-Life,9.2,10736,41
tt10562854,Elden Ring,9.4,7480,42
tt4044024,Horizon Zero Dawn,9.0,16983,43
tt0846694,God of War II,9.2,10078,44
tt1199781,God of War III,9.1,11852,45
tt0416779,God of War,9.1,11292,46
tt0366758,Max Payne 2: The Fall of Max Payne,9.1,11075,47
tt20918700,The Last of Us: Part I,9.7,4728,48
tt0390163,Kingdom Hearts II,9.3,7379,49
tt0462271,The Elder Scrolls IV: Oblivion,9.0,12689,50
tt1450746,Call of Duty: Modern Warfare 2,8.8,24859,51
tt6298000,The Last of Us: Part II,8.7,38155,52
tt2321297,Far Cry 3,8.8,20312,53
tt0322968,Kingdom Hearts,9.2,7596,54
tt3814634,Bloodborne,9.3,6562,55
tt1706601,Fallout: New Vegas,8.9,13075,56
tt1541718,Dragon Age: Origins,9.1,8283,57
tt5766946,Uncharted: The Nathan Drake Collection,9.3,5931,58
tt3468818,The Last of Us: Left Behind,8.9,11434,59
tt0249008,Metal Gear Solid 2: Sons of Liberty,9.0,8854,60
tt7826034,Resident Evil 2,9.0,8791,61
tt1797530,Tomb Raider,8.7,19644,62
tt0338221,Mafia: The City of Lost Heaven,9.2,6190,63
tt2739708,Assassin's Creed IV: Black Flag,8.7,18373,64
tt0494232,Halo 3,8.8,12387,65
tt1699759,Assassin's Creed: Brotherhood,8.7,16497,66
tt0277723,Grand Theft Auto III,8.7,16407,67
tt0204657,Super Mario 64,9.1,6635,68
tt1764429,L.A. Noire,8.7,16051,69
tt0309654,Halo: Combat Evolved,8.8,11678,70
tt0853117,Half-Life 2: Episode Two,9.1,6509,71
tt0249174,Super Mario Bros. 3,9.2,5573,72
tt0183066,Fallout 2: A Post-Nuclear Role-Playing Game,9.5,4013,73
tt0161941,Resident Evil 2,9.1,6217,74
tt1267296,Dead Space,8.8,10145,75
tt0221606,Super Mario World,9.2,5213,76
tt0205973,GoldenEye 007,9.1,5847,77
tt5807606,Death Stranding,8.8,9884,78
tt0879874,Super Mario Galaxy,9.1,5804,79
tt3186880,The Wolf Among Us,8.9,7680,80
tt2015348,Dark Souls,9.1,5510,81
tt0217061,StarCraft,9.1,5361,82
tt4795016,Dark Souls III,9.1,5197,83
tt4741306,Fallout 4,8.6,13891,84
tt0177266,Super Mario Bros.,8.9,6723,85
tt0357718,Halo 2,8.7,10025,86
tt2370518,Metal Gear Solid V: The Phantom Pain,8.8,8035,87
tt2011970,Minecraft,8.6,12531,88
tt0486673,Shadow of the Colossus,9.2,4338,89
tt6423026,Super Mario Odyssey,9.1,4797,90
tt0210613,Chrono Trigger,9.5,3187,91
tt0441877,The Legend of Zelda: Twilight Princess,9.0,5297,92
tt12496904,Horizon Forbidden West,9.0,5214,93
tt1407064,Max Payne 3,8.6,10990,94
tt0483168,Star Wars: Battlefront II,8.8,7020,95
tt5691474,Star Wars Jedi: Fallen Order,8.5,15086,96
tt1697062,Dead Space 2,8.8,6994,97
tt0263641,The Legend of Zelda: A Link to the Past,9.3,3671,98
tt1000777,Uncharted: Drake's Fortune,8.4,21805,99
tt0190703,Resident Evil,8.9,5696,100
tt0134648,Fallout: A Post-Nuclear Role-Playing Game,9.2,3914,101
tt1937416,The Witcher 2: Assassins of Kings,8.8,6333,102
tt0208156,Final Fantasy VIII,8.8,6327,103
tt0433458,Star Wars: Knights of the Old Republic II - The Sith Lords,8.9,5355,104
tt21047286,Resident Evil 4,9.5,2879,105
tt3569570,Resident Evil VII: Biohazard,8.6,9132,106
tt2133326,South Park: The Stick of Truth,8.9,5286,107
tt0462448,Need for Speed: Most Wanted,8.7,7322,108
tt0302327,Resident Evil,9.0,4564,109
tt0258523,Diablo II,9.0,4548,110
tt1181833,Mafia II,8.5,11031,111
tt6057416,Final Fantasy VII Remake,9.0,4426,112
tt0433390,Hitman: Blood Money,8.8,5695,113
tt3791072,Rise of the Tomb Raider,8.5,10230,114
tt0462422,Metal Gear Solid 3: Subsistence,9.5,2662,115
tt0249510,Final Fantasy IX,8.8,5397,116
tt14849728,Mass Effect: Legendary Edition,9.6,2451,117
tt12497042,Resident Evil Village,8.7,6262,118
tt1632479,Call of Duty: Black Ops,8.3,20329,119
tt0286585,Deus Ex,9.2,3321,120
tt2192570,Beyond: Two Souls,8.4,12538,121
tt1723639,Halo: Reach,8.6,7274,122
tt7025920,Assassin's Creed: Origins,8.5,9144,123
tt0382590,Call of Duty,8.6,7172,124
tt0823463,Gears of War,8.5,8976,125
tt0264790,The Legend of Zelda: Majora's Mask,9.0,3906,126
tt2385021,Borderlands 2,8.6,6831,127
tt8545606,Assassin's Creed: Odyssey,8.5,8496,128
tt1288501,Gears of War 2,8.7,5699,129
tt3944082,Persona 5,9.2,3123,130
tt13107970,Hogwarts Legacy,8.9,4264,131
tt0814129,Half-Life 2: Episode One,8.7,5645,132
tt0210061,Final Fantasy VI,9.1,3413,133
tt6304452,Uncharted: The Lost Legacy,8.5,8221,134
tt0325724,The Legend of Zelda: The Wind Waker,9.0,3593,135
tt2322244,Dishonored,8.4,9230,136
tt5370130,Super Smash Bros. Ultimate,8.9,3846,137
tt0469287,Call of Duty 2,8.5,7088,138
tt1319708,Deus Ex: Human Revolution,8.6,5737,139
tt12496734,Spider-Man: Miles Morales,8.4,8763,140
tt0888006,Bully,8.6,5708,141
tt0293062,Super Smash Bros. Melee,9.0,3345,142
tt1799527,Doom,8.5,6698,143
tt0259104,Warcraft III: Reign of Chaos,8.9,3670,144
tt1149396,Lego Star Wars: The Complete Saga,8.7,4617,145
tt0286598,Doom,8.6,5304,146
tt3763912,Dragon Age: Inquisition,8.6,5238,147
tt0466662,Alan Wake,8.5,6262,148
tt0372023,Warcraft III: The Frozen Throne,8.9,3505,149
tt8558306,Sekiro: Shadows Die Twice,8.8,3885,150
tt2842418,Batman: Arkham Origins,8.2,14567,151
tt0450392,Batman Begins,8.2,14118,152
tt1928116,Assassin's Creed: Revelations,8.2,13858,153
tt0928380,Super Smash Bros. Brawl,8.6,4950,154
tt1450324,Grand Theft Auto IV: The Ballad of Gay Tony,8.6,4900,155
tt0207701,Resident Evil 3: Nemesis,8.6,4895,156
tt0224637,Baldur's Gate II: Shadows of Amn,9.4,2159,157
tt14844718,Marvel's Guardians of the Galaxy,8.6,4776,158
tt1323508,Call of Duty: World at War,8.2,12247,159
tt0314015,The Elder Scrolls III: Morrowind,8.8,3595,160
tt3810192,Cyberpunk 2077,8.2,11972,161
tt20672830,Star Wars Jedi: Survivor,9.2,2426,162
tt1937113,Call of Duty: Modern Warfare 3,8.1,18886,163
tt0413662,Age of Empires II: The Age of Kings,8.8,3505,164
tt1037854,StarCraft II: Wings of Liberty,8.8,3437,165
tt0384444,Prince of Persia: The Sands of Time,8.5,5229,166
tt10417512,Call of Duty: Modern Warfare,8.4,6299,167
tt1698007,Super Mario Galaxy 2,9.0,2777,168
tt5238626,NieR: Automata,8.8,3363,169
tt10468596,Persona 5 Royal,9.5,1874,170
tt1506437,BioShock 2,8.2,10149,171
tt1135081,The Witcher,8.5,4920,172
tt4674622,Hellblade: Senua's Sacrifice,8.6,4205,173
tt6795336,Days Gone,8.3,7352,174
tt2241982,Sleeping Dogs,8.3,7325,175
tt1638317,Gears of War 3,8.5,4879,176
tt1543024,Left 4 Dead 2,8.3,7231,177
tt0437437,Prince of Persia: Warrior Within,8.6,4006,178
tt5734258,Batman: Return to Arkham,9.2,2130,179
tt5769154,Injustice 2,8.5,4491,180
tt5032376,Bloodborne: The Old Hunters,9.4,1827,181
tt0234202,Mario Kart 64,8.7,3348,182
tt0932936,Assassin's Creed,8.0,19495,183
tt1323932,Left 4 Dead,8.3,6305,184
tt0206330,Super Metroid,9.1,2245,185
tt4779924,Cuphead: Don't Deal with the Devil,8.7,3295,186
tt0815168,Grand Theft Auto: Vice City Stories,8.4,5017,187
tt3612274,Titanfall 2,8.5,4229,188
tt3742988,Far Cry 4,8.1,10565,189
tt8550890,Doom Eternal,8.6,3595,190
tt0296870,StarCraft: Brood War,9.0,2335,191
tt2387409,Call of Duty: Black Ops II,8.0,14880,192
tt0954921,Crysis,8.3,5578,193
tt0217733,Pokémon: Red Version,8.8,2728,194
tt7791150,Hollow Knight,8.8,2710,195
tt1954263,Battlefield 3,8.1,9238,196
tt4332152,Overwatch,8.3,5401,197
tt0181422,Crash Bandicoot: Warped,8.8,2670,198
tt2071475,Hitman: Absolution,8.2,6706,199
tt4066088,Halo: The Master Chief Collection,8.9,2406,200
tt0405833,The Chronicles of Riddick: Escape from Butcher Bay,8.6,3310,201
tt1806999,Red Dead Redemption: Undead Nightmare,8.4,4396,202
tt2984660,Outlast,8.3,5217,203
tt0342767,Metal Gear Solid 2: Substance,9.0,2171,204
tt1225687,Mario Kart Wii,8.4,4308,205
tt0275393,Half-Life: Counter-Strike,8.5,3619,206
tt3382518,Wolfenstein: The New Order,8.2,6131,207
tt0483781,Prince of Persia: The Two Thrones,8.5,3555,208
tt3330488,Middle-Earth: Shadow of Mordor,8.2,6072,209
tt1386939,Mortal Kombat,8.4,4122,210
tt0176925,The Legend of Zelda,8.6,3118,211
tt0241385,Donkey Kong Country,8.6,3092,212
tt0252338,Command & Conquer: Red Alert 2,8.6,3057,213
tt2175563,Assassin's Creed III,7.9,17813,214
tt0438550,Vampire: The Masquerade - Bloodlines,9.1,1875,215
tt5702630,Battlefield 1,8.1,7306,216
tt2006120,Halo 4,8.1,7205,217
tt0427889,Splinter Cell: Chaos Theory,8.6,2923,218
tt0260785,Castlevania: Symphony of the Night,9.2,1709,219
tt2233084,Spec Ops: The Line,8.4,3792,220
tt10461542,Lego Star Wars: The Skywalker Saga,8.8,2325,221
tt9459718,Hades,8.9,2121,222
tt0319854,Metroid Prime,8.9,2118,223
tt1320395,Star Wars: The Old Republic,8.5,3203,224
tt0418194,Star Wars: Battlefront,8.3,4336,225
tt0426437,Devil May Cry 3: Dante's Awakening,8.5,3128,226
tt2124034,Saints Row: The Third,8.1,6462,227
tt0290572,Doom II: Hell on Earth,8.5,3111,228
tt0486048,The Warriors,8.9,1996,229
tt0258522,Diablo,8.5,2981,230
tt3706490,Dying Light,8.2,4768,231
tt10471854,The Legend of Zelda: Tears of the Kingdom,9.6,1240,232
tt0228246,Duke Nukem 3D,8.4,3345,233
tt1024923,Star Wars: The Force Unleashed,8.0,7764,234
tt0291491,Sonic the Hedgehog 2,8.5,2913,235
tt0442674,The Godfather,8.3,3868,236
tt1343091,Grand Theft Auto IV: The Lost and Damned,8.2,4591,237
tt3003738,Persona 4 Golden,9.1,1637,238
tt1210335,Team Fortress 2,8.2,4477,239
tt0167018,Baldur's Gate,8.9,1886,240
tt1625541,Battlefield: Bad Company 2,8.2,4438,241
tt3898332,BioShock Infinite: Burial at Sea,8.7,2235,242
tt3772796,Mortal Kombat X,8.2,4372,243
tt1961357,inFamous 2,8.4,3152,244
tt1142978,Ghostbusters,8.4,3130,245
tt2134101,Metro: Last Light,8.2,4303,246
tt5724316,Dishonored 2,8.4,3108,247
tt0433664,World of Warcraft: Mists of Pandaria,8.0,6818,248
tt2182384,Injustice: Gods Among Us,8.0,6728,249
tt0181047,Tekken 3,8.4,3011,250
tt0809435,Hellboy: The Science of Evil,6.3,451,8193
tt0408816,Ghostbusters II,5.2,145,8194
