tconst,primaryTitle,averageRating,numVotes,ranking
tt0045152,Singin' in the Rain,8.3,249886,1
tt0367110,Swades,8.2,93858,2
tt1562872,Zindagi Na Milegi Dobara,8.2,81778,3
tt0169102,Lagaan: Once Upon a Time in India,8.1,117259,4
tt0168629,Dancer in the Dark,7.9,113288,5
tt0067992,Willy Wonka & the Chocolate Factory,7.8,210170,6
tt0347304,Kal Ho Naa Ho,7.9,72108,7
tt0067093,Fiddler on the Roof,8.0,45668,8
tt0066763,Anand,8.1,34514,9
tt0058385,My Fair Lady,7.8,98655,10
tt0023969,Duck Soup,7.8,61535,11
tt0068327,Cabaret,7.8,57300,12
tt0420332,Veer-Zaara,7.8,55038,13
tt0203009,Moulin Rouge!,7.6,291938,14
tt2077886,The Phantom of the Opera at the Royal Albert Hall,8.8,9564,15
tt0055614,West Side Story,7.6,117757,16
tt1707386,Les Misérables,7.5,337347,17
tt1485796,The Greatest Showman,7.5,294342,18
tt0026778,A Night at the Opera,7.8,33811,19
tt0078754,All That Jazz,7.8,33570,20
tt1621830,Monpura,8.8,8401,21
tt0058450,The Umbrellas of Cherbourg,7.8,29294,22
tt0085959,The Meaning of Life,7.5,122775,23
tt1180583,Vaaranam Aayiram,8.2,13616,24
tt11375428,Hridayam,8.1,13716,25
tt0073629,The Rocky Horror Picture Show,7.4,158667,26
tt0172684,Kuch Kuch Hota Hai,7.5,54788,27
tt0471711,Futurama: Bender's Big Score,7.6,34980,28
tt0047673,White Christmas,7.5,46799,29
tt0058182,A Hard Day's Night,7.5,46720,30
tt0238936,Devdas,7.5,44296,31
tt1754109,Les Misérables in Concert: The 25th Anniversary,8.8,6245,32
tt0408236,Sweeney Todd: The Demon Barber of Fleet Street,7.3,376955,33
tt0106333,Baazigar,7.6,29082,34
tt0059246,Guide,8.4,8354,35
tt0079261,Hair,7.5,39182,36
tt0027125,Top Hat,7.7,20003,37
tt6412452,The Ballad of Buster Scruggs,7.3,157354,38
tt0248126,Kabhi Khushi Kabhie Gham...,7.4,52516,39
tt0084352,Monty Python Live at the Hollywood Bowl,7.8,15511,40
tt0056262,The Music Man,7.7,18410,41
tt0214585,Chithram,8.7,5718,42
tt0063385,Oliver!,7.4,40109,43
tt11772746,Thiruchitrambalam,7.9,11757,44
tt0077631,Grease,7.2,288082,45
tt0299658,Chicago,7.2,236211,46
tt0242256,Alai Payuthey,8.3,6964,47
tt0050870,Thirst,8.3,6938,48
tt1321510,In the Heights,7.3,49732,49
tt0110076,Hum Aapke Hain Koun..!,7.5,21900,50
tt0293508,The Phantom of the Opera,7.2,126774,51
tt0049408,The King and I,7.4,27176,52
tt3581652,West Side Story,7.2,89068,53
tt0047522,A Star Is Born,7.5,19031,54
tt0263065,Arabesque,8.0,8181,55
tt0063404,Padosan,8.1,7137,56
tt0062873,The Young Girls of Rochefort,7.7,11072,57
tt0070239,Jesus Christ Superstar,7.3,28515,58
tt2178470,Yeh Jawaani Hai Deewani,7.2,48334,59
tt0150992,Hum Dil De Chuke Sanam,7.4,19233,60
tt5255710,Sanam Teri Kasam,7.5,14851,61
tt0047472,Seven Brides for Seven Brothers,7.3,26125,62
tt0028333,Swing Time,7.5,14221,63
tt0028772,A Day at the Races,7.5,14162,64
tt0091419,Little Shop of Horrors,7.1,81061,65
tt0768120,Memories of Matsuko,7.8,8337,66
tt0043278,An American in Paris,7.2,35437,67
tt0023027,Horse Feathers,7.5,13043,68
tt0086231,Sagara Sangamam,8.8,3482,69
tt0024069,Gold Diggers of 1933,7.7,8778,70
tt0020640,Animal Crackers,7.4,14897,71
tt11874226,David Byrne's American Utopia,8.2,4928,72
tt0041716,On the Town,7.3,18189,73
tt0022158,Monkey Business,7.4,13935,74
tt0263206,Christmas in South Park,8.3,4373,75
tt0045810,Gentlemen Prefer Blondes,7.1,40625,76
tt0299108,Rehnaa Hai Terre Dil Mein,7.6,8739,77
tt0045537,The Band Wagon,7.4,11994,78
tt0053146,Black Orpheus,7.4,11806,79
tt20784402,Madhi,9.5,2139,80
tt0084747,Sweeney Todd: The Demon Barber of Fleet Street,8.4,3718,81
tt7638556,Come from Away,8.5,3463,82
tt0095936,Qayamat Se Qayamat Tak,7.4,11141,83
tt0385277,The Music Man,7.5,9076,84
tt1273675,Rent: Filmed Live on Broadway,8.1,4382,85
tt0251282,A Muppet Family Christmas,8.1,4379,86
tt0100095,Maine Pyar Kiya,7.3,12725,87
tt0114234,Rangeela,7.4,10159,88
tt0072272,That's Entertainment!,7.8,5279,89
tt0029546,Shall We Dance,7.5,7632,90
tt6346162,Disney's Newsies: The Broadway Musical!,8.3,3340,91
tt5190958,Katyar Kaljat Ghusali,8.8,2472,92
tt0059260,Help!,7.1,20518,93
tt5662106,Lemonade,8.3,3269,94
tt0040308,Easter Parade,7.3,10615,95
tt0283832,8 Women,7.0,33429,96
tt0050419,Funny Face,7.0,31667,97
tt0213890,Mohabbatein,7.0,31491,98
tt2203308,Aashiqui 2,7.0,31157,99
tt0048140,Guys and Dolls,7.1,18474,100
tt0025164,The Gay Divorcee,7.4,8302,101
tt4366830,Grease Live!,7.3,9767,102
tt0237038,Bharatham,8.4,2741,103
tt0285063,Elvis: The Comeback Special,8.9,2063,104
tt0186408,An Ordinary Miracle,8.1,3339,105
tt0043306,Awaara,7.8,4350,106
tt0066461,One Song a Day Takes Mischief Away,8.5,2518,107
tt0118983,Dil To Pagal Hai,7.0,23393,108
tt12969078,Atkan Chatkan,7.8,4218,109
tt0045591,Calamity Jane,7.2,10424,110
tt0024028,Footlight Parade,7.5,5825,111
tt6874964,Jesus Christ Superstar Live in Concert,7.8,3874,112
tt0437407,Parineeta,7.2,9419,113
tt7149678,Super Bowl LI Halftime Show Starring Lady Gaga,8.8,1865,114
tt0386820,The Trouble with Terkel,7.1,11299,115
tt0064418,Hello， Dolly!,7.0,16230,116
tt0083465,Pokrov Gates,8.0,2976,117
tt2040264,A Very Potter Sequel,8.7,1870,118
tt0285800,Notre-Dame de Paris,8.9,1675,119
tt0069198,The Ruling Class,7.3,6566,120
tt0054073,The Cloud-Capped Star,7.9,2995,121
tt0116763,Khamoshi the Musical,7.5,4510,122
tt0048445,Oklahoma!,7.0,13454,123
tt0023158,Love Me Tonight,7.5,4438,124
tt0102825,Saajan,7.2,7213,125
tt0115819,Cannibal! The Musical,7.0,12775,126
tt0294870,Rent,6.8,54799,127
tt0173714,Cats,7.3,5814,128
tt0092117,True Stories,7.2,7060,129
tt0082517,History of the World: Part I,6.8,53639,130
tt0156610,The Hole,7.5,4232,131
tt14914988,Satyaprem Ki Katha,7.8,3024,132
tt0022599,À Nous la Liberté,7.4,4803,133
tt0146645,Dosti,8.5,1791,134
tt0069671,Abhimaan,7.8,2913,135
tt0104605,Khiladi,7.1,8333,136
tt0049314,High Society,6.9,16836,137
tt1125194,Legally Blonde: The Musical,8.3,1900,138
tt0092745,A Man from Boulevard des Capucines,7.6,3401,139
tt0057950,Cinderella,7.7,3031,140
tt0234000,Kaho Naa... Pyaar Hai,6.9,15917,141
tt0119861,Pardes,6.9,15411,142
tt0085213,Le Bal,7.7,2907,143
tt0996605,Love Songs,7.0,9883,144
tt0037514,Anchors Aweigh,7.0,9129,145
tt0091256,Permission,8.4,1617,146
tt0232152,Nagara Haavu,9.1,1142,147
tt11318624,John Mulaney & the Sack Lunch Bunch,7.4,3766,148
tt0119828,Same Old Song,7.3,4375,149
tt0022150,Le Million,7.4,3696,150
tt0046998,French Cancan,7.3,4293,151
tt0066758,Amar Prem,8.1,1851,152
tt6162808,Miss Saigon: 25th Anniversary,8.1,1844,153
tt0061791,How to Succeed in Business Without Really Trying,7.2,4990,154
tt0427327,Hairspray,6.7,134856,155
tt0107977,Robin Hood: Men in Tights,6.7,131417,156
tt0056436,Sahib Bibi Aur Ghulam,8.1,1796,157
tt0298954,Crying... Silicon Tears,7.5,3077,158
