tconst,primaryTitle,averageRating,numVotes,ranking
tt10541088,Clarkson's Farm,9.0,48585,1
tt2100976,Impractical Jokers,8.6,43026,2
tt3062514,Khawatir,9.5,3225,3
tt15697242,Unstoppable with NBK,9.1,4550,4
tt1353056,RuPaul's Drag Race,8.5,21890,5
tt7259746,Queer Eye,8.5,20197,6
tt1877368,The Great British Baking Show,8.6,11560,7
tt2301351,RuPaul's Drag Race All Stars,8.6,9149,8
tt0383126,MythBusters,8.3,53724,9
tt13191804,In the SOOP BTS Ver.,9.5,2424,10
tt2185037,Running Man,9.1,3346,11
tt26493973,Jinny's Kitchen,9.1,3312,12
tt7866314,BTS: Bon Voyage,9.5,2243,13
tt11904786,Love on the Spectrum,8.6,6542,14
tt8893550,Car Masters: Rust to Riches,8.4,11189,15
tt0475900,Anthony Bourdain: No Reservations,8.5,7497,16
tt16385150,Shark Tank India,8.8,4016,17
tt0883772,Man vs. Wild,8.2,22956,18
tt4803766,Alone,8.4,6336,19
tt9780442,RuPaul's Drag Race UK,8.5,4354,20
tt23743442,The Traitors UK,8.8,2770,21
tt21348558,In the Soop: Friendcation,8.4,4730,22
tt13464516,Cooku with Comali,9.4,1589,23
tt0384746,Kenny vs. Spenny,8.1,9782,24
tt1663641,Face Off,8.2,6788,25
tt0421099,Grand Designs,8.5,3329,26
tt13606528,Drag Race España,8.7,2550,27
tt7653274,All or Nothing: Manchester City,8.1,7337,28
tt3277670,The Moaning of Life,8.1,6615,29
tt11285856,We're Here,8.6,2633,30
tt4680444,Forged in Fire,8.3,4028,31
tt11289784,Unus Annus,9.5,1269,32
tt12824922,Long Way Up,8.2,4779,33
tt12585152,Down to Earth with Zac Efron,8.0,7687,34
tt6422944,Impractical Jokers: Inside Jokes,8.5,2797,35
tt0423652,The First 48,8.2,3992,36
tt0285335,The Amazing Race,7.8,15034,37
tt7554866,Men in Kilts: A Roadtrip with Sam and Graham,8.5,2464,38
tt1433870,MasterChef Australia,8.2,3757,39
tt4817038,Casey Neistat Vlog,9.2,1279,40
tt4305162,Expedition Unknown,8.2,3343,41
tt0446809,Deadliest Catch,7.8,8948,42
tt8641686,Mortimer & Whitehouse: Gone Fishing,8.9,1481,43
tt6685272,The Repair Shop,8.7,1739,44
tt2136396,The Incredible Dr. Pol,8.6,1896,45
tt0446622,Hard Knocks,8.4,2284,46
tt6249614,Escape to the Chateau,8.6,1757,47
tt4591390,Fixer Upper,8.1,3274,48
tt1442550,Shark Tank,7.7,10292,49
tt0176095,The Challenge,8.0,3856,50
tt10971532,Queer Eye: We're in Japan!,8.2,2729,51
tt0458259,Dirty Jobs,7.7,9286,52
tt0497294,High Stakes Poker,9.0,1229,53
tt6115528,Bad Unboxing,8.4,1942,54
tt25274446,Physical: 100,7.7,7457,55
tt0239195,Survivor,7.5,26183,56
tt0765425,Top Chef,7.7,6499,57
tt0220265,Iron Chef,8.6,1467,58
tt9170584,Gordon， Gino & Fred's Road Trip,8.4,1715,59
tt8911552,Hyperdrive,8.0,2788,60
tt2174367,Comic Book Men,7.7,5513,61
tt12564744,Selena + Chef,8.4,1667,62
tt0983514,Kitchen Nightmares,7.5,13514,63
tt1588754,RuPaul's Drag Race: Untucked!,7.8,3638,64
tt1970923,Kenny Hotz's Triumph of the Will,8.1,2154,65
tt0409608,Ramsay's Kitchen Nightmares,7.6,6371,66
tt0423642,Dog Whisperer with Cesar Millan,7.9,2792,67
tt3080030,The Profit,8.3,1610,68
tt6417190,The Great Pottery Throw Down,8.6,1216,69
tt4287464,Nightwatch,8.8,1046,70
tt0445912,The Ultimate Fighter,7.8,3146,71
tt6103712,Australian Survivor,8.5,1239,72
tt2882076,Still Standing,8.2,1605,73
tt7619858,The Final Table,7.6,4484,74
tt4790546,Terrace House,8.1,1777,75
tt0437741,Project Runway,7.4,11358,76
tt0377024,The Joe Schmo Show,8.2,1570,77
tt4816364,BattleBots,8.0,1916,78
tt3198590,The Slow Mo Guys,8.7,989,79
tt11048090,Legendary,8.0,1904,80
tt0264263,Jackass,7.3,26704,81
tt5189220,SAS: Who Dares Wins,8.3,1334,82
tt2402569,Cold Justice,8.0,1857,83
tt2964642,Life Below Zero,7.9,2114,84
tt4715246,The Last Alaskans,8.6,1013,85
tt6225166,Live PD,8.1,1591,86
tt0457544,Wie is de Mol?,8.4,1185,87
tt0437696,30 Days,7.9,1978,88
tt7644680,Shot in the Dark,7.9,1977,89
tt5547946,Ride with Norman Reedus,8.2,1331,90
tt5665418,Below Deck Mediterranean,7.6,3283,91
tt2342499,Below Deck,7.5,4326,92
tt0791283,Rob & Big,7.5,4275,93
tt6439480,Jerma985,9.8,507,94
tt1353281,Chopped,7.5,4164,95
tt1538145,Pit Bulls and Parolees,8.1,1437,96
tt1138645,Bizarre Foods with Andrew Zimmern,7.7,2526,97
tt0236911,De Mol,8.7,859,98
tt0941372,Destination Truth,7.6,3071,99
tt2289518,Being: Liverpool,8.4,1061,100
tt1319900,Ghost Adventures,7.3,9853,101
tt5564124,60 Days In,7.6,2978,102
tt3816666,Running Wild with Bear Grylls,7.6,2916,103
tt6289132,The Boulet Brothers' Dragula,8.1,1366,104
tt6987788,Nailed It!,7.4,5159,105
tt1344970,Rob Dyrdek's Fantasy Factory,7.6,2841,106
tt1863526,Bar Rescue,7.5,3642,107
tt0209673,Globe Trekker,8.6,877,108
tt0437005,Hell's Kitchen,7.2,21873,109
tt6666966,Home Town,8.1,1306,110
tt9581768,The Circle,7.3,7780,111
tt27664503,Siren: Survive the Island,8.2,1176,112
tt6874206,Making It,7.9,1614,113
