tconst,primaryTitle,seriesName,seasonNumber,episodeNumber,averageRating,numVotes,ranking
tt11172022,Chapter Seven: The Massacre at Hawkins Lab,Stranger Things,4,7,9.6,39236,1
tt3230908,Mizumono,Hannibal,2,13,9.8,20408,2
tt4575388,No Way Out,The Walking Dead,6,9,9.6,30624,3
tt3297776,No Sanctuary,The Walking Dead,5,1,9.6,28972,4
tt2948638,Too Far Gone,The Walking Dead,4,8,9.6,28150,5
tt11171978,Chapter Four: Dear Billy,Stranger Things,4,4,9.4,35575,6
tt4089754,The Wrath of the Lamb,Hannibal,3,13,9.7,14516,7
tt5164772,The Day Will Come When You Won't Be,The Walking Dead,7,1,9.2,42507,8
tt4593138,Chapter Eight: The Upside Down,Stranger Things,1,8,9.3,25985,9
tt1626753,Swan Song,Supernatural,5,22,9.7,10963,10
tt6020876,Chapter Nine: The Gate,Stranger Things,2,9,9.3,24612,11
tt7958030,The Bent-Neck Lady,The Haunting of Hill House,1,5,9.5,13666,12
tt7911942,Chapter Eight: The Battle of Starcourt,Stranger Things,3,8,9.2,29650,13
tt1589921,Days Gone Bye,The Walking Dead,1,1,9.2,27526,14
tt1627712,The French Mistake,Supernatural,6,15,9.6,10487,15
tt1511910,Changing Channels,Supernatural,5,8,9.6,10354,16
tt2253602,Killer Within,The Walking Dead,3,4,9.3,16928,17
tt6020812,Chapter Eight: The Mind Flayer,Stranger Things,2,8,9.2,22017,18
tt12810166,Chapter Nine: The Piggyback,Stranger Things,4,9,9.1,31069,19
tt1804271,Pretty Much Dead Already,The Walking Dead,2,7,9.2,18245,20
tt3316800,The Grove,The Walking Dead,4,14,9.2,17558,21
tt4719614,Thank You,The Walking Dead,6,3,9.2,17510,22
tt3853928,Conquer,The Walking Dead,5,16,9.2,17263,23
tt1804265,Beside the Dying Fire,The Walking Dead,2,13,9.2,17173,24
tt8250840,The Calm Before,The Walking Dead,9,15,9.3,13539,25
tt8250812,What Comes After,The Walking Dead,9,5,9.2,16751,26
tt4452400,JSS,The Walking Dead,6,2,9.2,16514,27
tt6746190,ScoobyNatural,Supernatural,13,16,9.6,8308,28
tt6020808,Chapter Six: The Spy,Stranger Things,2,6,9.1,20287,29
tt8160066,Two Storms,The Haunting of Hill House,1,6,9.3,12230,30
tt1032132,Mystery Spot,Supernatural,3,11,9.5,8713,31
tt12772748,Here's Negan,The Walking Dead,10,22,9.2,13801,32
tt3260612,A,The Walking Dead,4,16,9.1,17115,33
tt4593134,Chapter Seven: The Bathtub,Stranger Things,1,7,9.0,22062,34
tt1804264,Better Angels,The Walking Dead,2,12,9.1,15517,35
tt3845910,Fan Fiction,Supernatural,10,5,9.4,8797,36
tt10573626,The Sound of Her Wings,The Sandman,1,6,9.2,11400,37
tt1222595,Lazarus Rising,Supernatural,4,1,9.4,8325,38
tt4593124,Chapter Four: The Body,Stranger Things,1,4,8.9,22437,39
tt7911884,Chapter Four: The Sauna Test,Stranger Things,3,4,8.9,20628,40
tt3689244,Four Walls and a Roof,The Walking Dead,5,3,9.0,15094,41
tt0987714,All Hell Breaks Loose: Part 2,Supernatural,2,22,9.4,7243,42
tt4995876,Baby,Supernatural,11,4,9.4,6960,43
tt4776072,Not Tomorrow Yet,The Walking Dead,6,12,9.0,13115,44
tt13218186,The Myth of the House: The Return,Paranormal,1,6,9.3,7656,45
tt4593126,"Chapter Three: Holly, Jolly",Stranger Things,1,3,8.8,22871,46
tt4593132,Chapter Six: The Monster,Stranger Things,1,6,8.8,21156,47
tt0987715,What Is and What Should Never Be,Supernatural,2,20,9.3,7266,48
tt5547512,Don't Call Me Shurley,Supernatural,11,20,9.4,6296,49
