tconst,primaryTitle,seriesName,seasonNumber,episodeNumber,averageRating,numVotes,ranking
tt3230908,Mizumono,Hannibal,2,13,9.8,20420,1
tt11172022,Chapter Seven: The Massacre at Hawkins Lab,Stranger Things,4,7,9.6,39260,2
tt4575388,No Way Out,The Walking Dead,6,9,9.6,30644,3
tt3297776,No Sanctuary,The Walking Dead,5,1,9.6,28989,4
tt2948638,Too Far Gone,The Walking Dead,4,8,9.6,28168,5
tt4089754,The Wrath of the Lamb,Hannibal,3,13,9.7,14520,6
tt11171978,Chapter Four: Dear Billy,Stranger Things,4,4,9.4,35600,7
tt1626753,Swan Song,Supernatural,5,22,9.7,10966,8
tt7958030,The Bent-Neck Lady,The Haunting of Hill House,1,5,9.5,13672,9
tt1627712,The French Mistake,Supernatural,6,15,9.6,10491,10
tt1511910,Changing Channels,Supernatural,5,8,9.6,10354,11
tt4593138,Chapter Eight: The Upside Down,Stranger Things,1,8,9.3,25995,12
tt6020876,Chapter Nine: The Gate,Stranger Things,2,9,9.3,24621,13
tt5164772,The Day Will Come When You Won't Be,The Walking Dead,7,1,9.2,42531,14
tt6746190,ScoobyNatural,Supernatural,13,16,9.6,8312,15
tt7911942,Chapter Eight: The Battle of Starcourt,Stranger Things,3,8,9.2,29664,16
tt1589921,Days Gone Bye,The Walking Dead,1,1,9.2,27550,17
tt2253602,Killer Within,The Walking Dead,3,4,9.3,16941,18
tt6020812,Chapter Eight: The Mind Flayer,Stranger Things,2,8,9.2,22025,19
tt1032132,Mystery Spot,Supernatural,3,11,9.5,8713,20
tt8250840,The Calm Before,The Walking Dead,9,15,9.3,13550,21
tt1804271,Pretty Much Dead Already,The Walking Dead,2,7,9.2,18256,22
tt12810166,Chapter Nine: The Piggyback,Stranger Things,4,9,9.1,31092,23
tt3316800,The Grove,The Walking Dead,4,14,9.2,17569,24
tt4719614,Thank You,The Walking Dead,6,3,9.2,17516,25
tt3853928,Conquer,The Walking Dead,5,16,9.2,17270,26
tt1804265,Beside the Dying Fire,The Walking Dead,2,13,9.2,17185,27
tt8160066,Two Storms,The Haunting of Hill House,1,6,9.3,12236,28
tt8250812,What Comes After,The Walking Dead,9,5,9.2,16764,29
tt4452400,JSS,The Walking Dead,6,2,9.2,16520,30
tt3845910,Fan Fiction,Supernatural,10,5,9.4,8799,31
tt1222595,Lazarus Rising,Supernatural,4,1,9.4,8327,32
tt12772748,Here's Negan,The Walking Dead,10,22,9.2,13821,33
tt6020808,Chapter Six: The Spy,Stranger Things,2,6,9.1,20299,34
tt3260612,A,The Walking Dead,4,16,9.1,17125,35
tt10573626,The Sound of Her Wings,The Sandman,1,6,9.2,11404,36
tt0987714,All Hell Breaks Loose: Part 2,Supernatural,2,22,9.4,7246,37
tt1804264,Better Angels,The Walking Dead,2,12,9.1,15530,38
tt4995876,Baby,Supernatural,11,4,9.4,6961,39
tt4593134,Chapter Seven: The Bathtub,Stranger Things,1,7,9.0,22068,40
tt4706148,Part 16,Twin Peaks,1,16,9.5,5499,41
tt13218186,The Myth of the House: The Return,Paranormal,1,6,9.3,7656,42
tt5547512,Don't Call Me Shurley,Supernatural,11,20,9.4,6299,43
tt0987715,What Is and What Should Never Be,Supernatural,2,20,9.3,7268,44
tt1032131,Jus in Bello,Supernatural,3,12,9.3,6891,45
tt3689244,Four Walls and a Roof,The Walking Dead,5,3,9.0,15102,46
tt4593124,Chapter Four: The Body,Stranger Things,1,4,8.9,22442,47
tt4057962,Digestivo,Hannibal,3,7,9.3,6400,48
tt7911884,Chapter Four: The Sauna Test,Stranger Things,3,4,8.9,20636,49
tt4776072,Not Tomorrow Yet,The Walking Dead,6,12,9.0,13120,50
tt1222609,Lucifer Rising,Supernatural,4,22,9.3,6302,51
tt0829063,In My Time of Dying,Supernatural,2,1,9.2,7325,52
tt0775325,Devil's Trap,Supernatural,1,22,9.2,7073,53
tt1107710,Bad Day at Black Rock,Supernatural,3,3,9.2,6993,54
tt2805140,Sacrifice,Supernatural,8,23,9.3,5723,55
tt2373025,Savoureux,Hannibal,1,13,9.2,6810,56
tt1222594,No Rest for the Wicked,Supernatural,3,16,9.2,6536,57
tt1222611,In the Beginning,Supernatural,4,3,9.2,6502,58
tt4593126,"Chapter Three: Holly, Jolly",Stranger Things,1,3,8.8,22879,59
tt1222604,The Monster at the End of This Book,Supernatural,4,18,9.2,6272,60
tt3182894,Do You Believe in Miracles,Supernatural,9,23,9.3,5298,61
tt3230890,Mukozuke,Hannibal,2,5,9.2,6189,62
tt4593132,Chapter Six: The Monster,Stranger Things,1,6,8.8,21162,63
tt3230886,Takiawase,Hannibal,2,4,9.2,6121,64
tt3230910,Tome-wan,Hannibal,2,12,9.2,6104,65
tt2253608,Made to Suffer,The Walking Dead,3,8,8.9,12984,66
tt3853924,Spend,The Walking Dead,5,14,8.9,12979,67
tt3230896,Futamono,Hannibal,2,6,9.2,6087,68
tt9729172,Walk with Us,The Walking Dead,10,12,9.0,9399,69
