tconst,primaryTitle,averageRating,numVotes,ranking
tt1375666,Inception,8.8,2420342,1
tt0133093,The Matrix,8.7,1963241,2
tt0816692,Interstellar,8.7,1920475,3
tt0103064,Terminator 2: Judgment Day,8.6,1126195,4
tt0482571,The Prestige,8.5,1368193,5
tt0088763,Back to the Future,8.5,1242884,6
tt0078748,Alien,8.5,905705,7
tt4154756,Avengers: Infinity War,8.4,1129056,8
tt0338013,Eternal Sunshine of the Spotless Mind,8.3,1033583,9
tt0090605,Aliens,8.4,734086,10
tt0066921,A Clockwork Orange,8.3,849698,11
tt0434409,V for Vendetta,8.2,1142778,12
tt0107290,Jurassic Park,8.2,1016997,13
tt0062622,2001: A Space Odyssey,8.3,687293,14
tt1392190,Mad Max: Fury Road,8.1,1032924,15
tt0848228,The Avengers,8.0,1418907,16
tt0088247,The Terminator,8.1,887909,17
tt3315342,Logan,8.1,790318,18
tt0083658,Blade Runner,8.1,789883,19
tt3659388,The Martian,8.0,881385,20
tt0246578,Donnie Darko,8.0,821052,21
tt0371746,Iron Man,7.9,1085166,22
tt0084787,The Thing,8.2,440033,23
tt1798709,Her,8.0,637946,24
tt0114746,12 Monkeys,8.0,630367,25
tt1877832,X-Men: Days of Future Past,7.9,726296,26
tt2543164,Arrival,7.9,721498,27
tt1631867,Edge of Tomorrow,7.9,701003,28
tt1136608,District 9,7.9,696167,29
tt2488496,Star Wars: Episode VII - The Force Awakens,7.8,948851,30
tt1843866,Captain America: The Winter Soldier,7.8,868945,31
tt0796366,Star Trek,7.9,610903,32
tt3498820,Captain America: Civil War,7.8,814387,33
tt0206634,Children of Men,7.9,512516,34
tt3748528,Rogue One: A Star Wars Story,7.8,659362,35
tt1454468,Gravity,7.7,841781,36
tt0096874,Back to the Future Part II,7.8,549771,37
tt0083866,E.T. the Extra-Terrestrial,7.9,421725,38
tt1270798,X-Men: First Class,7.7,705984,39
tt0470752,Ex Machina,7.7,563269,40
tt1408101,Star Trek Into Darkness,7.7,489803,41
tt1182345,Moon,7.8,367143,42
tt0017136,Metropolis,8.3,178599,43
tt1318514,Rise of the Planet of the Apes,7.6,541294,44
tt0289879,The Butterfly Effect,7.6,502864,45
tt1951264,The Hunger Games: Catching Fire,7.5,685161,46
tt0119177,Gattaca,7.8,312918,47
tt0119116,The Fifth Element,7.6,487166,48
tt0379786,Serenity,7.8,300628,49
tt2338151,PK,8.1,193509,50
tt0145487,Spider-Man,7.4,841591,51
tt6644200,A Quiet Place,7.5,551567,52
tt2250912,Spider-Man: Homecoming,7.4,683251,53
tt0316654,Spider-Man 2,7.4,675253,54
tt0063442,Planet of the Apes,8.0,185731,55
tt1219289,Limitless,7.4,590508,56
tt0088846,Brazil,7.9,205544,57
tt1276104,Looper,7.4,587817,58
tt0289043,28 Days Later,7.5,425829,59
tt2395427,Avengers: Age of Ultron,7.3,887906,60
tt0290334,X2: X-Men United,7.4,561852,61
tt0087544,Nausicaä of the Valley of the Wind,8.0,174416,62
tt1825683,Black Panther,7.3,804263,63
tt0478970,Ant-Man,7.3,695257,64
tt0099088,Back to the Future Part III,7.4,461912,65
tt1677720,Ready Player One,7.4,455867,66
tt0100802,Total Recall,7.5,341638,67
tt0120903,X-Men,7.3,628538,68
tt0093870,RoboCop,7.6,268278,69
tt0079944,Stalker,8.1,138760,70
tt1392170,The Hunger Games,7.2,950449,71
tt6723592,Tenet,7.3,533253,72
tt1371111,Cloud Atlas,7.4,367851,73
tt0118884,Contact,7.5,283414,74
tt0217869,Unbreakable,7.3,428458,75
tt0234215,The Matrix Reloaded,7.2,609869,76
tt11286314,Don't Look Up,7.2,560079,77
tt0075860,Close Encounters of the Third Kind,7.6,208825,78
tt0119094,Face/Off,7.3,388297,79
tt0118929,Dark City,7.6,205314,80
tt2397535,Predestination,7.4,291836,81
tt1300854,Iron Man 3,7.1,871285,82
tt0770828,Man of Steel,7.1,788125,83
tt0091064,The Fly,7.6,191670,84
tt0238380,Equilibrium,7.3,338911,85
tt0082694,The Road Warrior,7.6,186553,86
tt0120201,Starship Troopers,7.3,306048,87
tt0343818,"I, Robot",7.1,555851,88
tt6499752,Upgrade,7.5,193598,89
tt0437086,Alita: Battle Angel,7.3,279833,90
