tconst,primaryTitle,seasonNumber,numVotes,averageRating,ranking
tt0396991,LazyTown,4,13293,9.6,1
tt0870039,Growing Up Creepie,1,5070,9.8,2
tt7678620,Bluey,2,18414,9.1,3
tt0206512,SpongeBob SquarePants,2,26073,9.0,4
tt5421602,Anne with an E,3,18900,9.0,5
tt0206512,SpongeBob SquarePants,3,22060,8.8,6
tt5421602,Anne with an E,1,15784,8.7,7
tt0096657,Mr. Bean,1,26214,8.6,8
tt0206512,SpongeBob SquarePants,1,28169,8.6,9
tt5421602,Anne with an E,2,18256,8.6,10
tt7678620,Bluey,3,8607,8.7,11
tt10530900,Gullak,2,3440,9.2,12
tt1094229,Heartland,14,10100,8.6,13
tt6905542,The Dark Crystal: Age of Resistance,1,11101,8.5,14
tt1094229,Heartland,15,7034,8.6,15
tt0043208,I Love Lucy,4,10111,8.5,16
tt0042114,The Honeymooners,1,10966,8.5,17
tt0268093,Ramayan,1,3495,9.0,18
tt0043208,I Love Lucy,5,8319,8.4,19
tt0363328,Drake & Josh,4,6067,8.5,20
tt0043208,I Love Lucy,2,11367,8.3,21
tt8595766,Yeh Meri Family,1,2912,8.9,22
tt7678620,Bluey,1,13096,8.3,23
tt0043208,I Love Lucy,6,8481,8.4,24
tt0053479,The Andy Griffith Show,3,12012,8.3,25
tt0094582,The Wonder Years,3,7815,8.4,26
tt10530900,Gullak,3,2105,9.1,27
tt1094229,Heartland,8,3311,8.7,28
tt5607976,His Dark Materials,1,30540,8.1,29
tt0043208,I Love Lucy,3,9930,8.2,30
tt7923710,My Mister,1,2615,8.8,31
tt0043208,I Love Lucy,1,16086,8.1,32
tt8461160,Baby Geniuses Television Series,1,1140,9.8,33
tt0053479,The Andy Griffith Show,4,10727,8.2,34
tt10530900,Gullak,1,2248,8.9,35
tt0053479,The Andy Griffith Show,2,11160,8.2,36
tt5607976,His Dark Materials,2,14522,8.1,37
tt0212671,Malcolm in the Middle,2,22889,8.1,38
tt0094582,The Wonder Years,4,7004,8.2,39
tt0057733,Bewitched,1,14688,8.1,40
tt2543796,Girl Meets World,2,8176,8.2,41
tt0094582,The Wonder Years,2,6148,8.3,42
tt0056751,Doctor Who,13,14110,8.1,43
tt0071007,Little House on the Prairie,1,11085,8.1,44
tt0056751,Doctor Who,14,14343,8.1,45
tt1094229,Heartland,3,3643,8.5,46
