tconst,primaryTitle,seasonNumber,numVotes,averageRating,ranking
tt0396991,LazyTown,4,13293,9.6,1
tt0870039,Growing Up Creepie,1,5070,9.8,2
tt0206512,SpongeBob SquarePants,2,26078,9.0,3
tt7678620,Bluey,2,18490,9.0,4
tt5421602,Anne with an E,3,18903,9.0,5
tt0206512,SpongeBob SquarePants,3,22064,8.8,6
tt5421602,Anne with an E,1,15787,8.7,7
tt0096657,Mr. Bean,1,26237,8.6,8
tt0206512,SpongeBob SquarePants,1,28179,8.6,9
tt5421602,Anne with an E,2,18258,8.6,10
tt7678620,Bluey,3,8676,8.7,11
tt10530900,Gullak,2,3441,9.2,12
tt1094229,Heartland,14,10100,8.6,13
tt0268093,Ramayan,1,3711,9.1,14
tt6905542,The Dark Crystal: Age of Resistance,1,11107,8.5,15
tt1094229,Heartland,15,7035,8.6,16
tt0043208,I Love Lucy,4,10104,8.5,17
tt0042114,The Honeymooners,1,10966,8.5,18
tt0043208,I Love Lucy,5,8314,8.4,19
tt0363328,Drake & Josh,4,6067,8.5,20
tt0043208,I Love Lucy,2,11379,8.3,21
tt8595766,Yeh Meri Family,1,2919,8.9,22
tt7678620,Bluey,1,13244,8.3,23
tt0043208,I Love Lucy,6,8476,8.4,24
tt0053479,The Andy Griffith Show,3,12021,8.3,25
tt0094582,The Wonder Years,3,7815,8.4,26
tt10530900,Gullak,3,2105,9.1,27
tt1094229,Heartland,8,3320,8.7,28
tt5607976,His Dark Materials,1,30538,8.1,29
tt0043208,I Love Lucy,3,9928,8.2,30
tt7923710,My Mister,1,2618,8.8,31
tt0043208,I Love Lucy,1,16089,8.1,32
tt8461160,Baby Geniuses Television Series,1,1140,9.8,33
tt0053479,The Andy Griffith Show,4,10728,8.2,34
tt1094229,Heartland,16,4231,8.5,35
tt10530900,Gullak,1,2248,8.9,36
tt0053479,The Andy Griffith Show,2,11162,8.2,37
tt5607976,His Dark Materials,2,14524,8.1,38
tt0212671,Malcolm in the Middle,2,22904,8.1,39
tt2543796,Girl Meets World,2,8180,8.2,40
tt0094582,The Wonder Years,4,7004,8.2,41
tt0057733,Bewitched,1,14697,8.1,42
tt0056751,Doctor Who,13,14136,8.1,43
tt0094582,The Wonder Years,2,6148,8.3,44
tt0071007,Little House on the Prairie,1,11085,8.1,45
tt0056751,Doctor Who,14,14372,8.1,46
